IFAD Option,# of Spots Available ,Students interested in the following career field(s) would most benefit: ,Company/Organization/ Agency Name,Job Title,Website,"Description of Company/Organization/Agency (provided by the host)
",What can you expect from meeting with this host? (provided by the host),Company/Org Physical Address,"Work City, State, Zip Ex: College Park, MD, 20742",DC metro accessible (train or bus) from College Park?,Federal government agency or federal contractor,Require that the student is a US Citizen?,Required to complete and pay for a background check?,What days of the week would work best with your availability?,"Available during Spring Break from March 16-23, 2025.",UMD's Alumni?,Is there any more information you would like to share?
60-minute virtual informational interviews,1,"Agriculture/Environment,Consulting,Engineering,Science and Research",Stantec,Associate,www.stantec.com,"Stantec is a global leader in sustainable engineering, architecture, and environmental consulting. The diverse perspectives of our partners and interested parties drive us to think beyond what’s previously been done on critical issues like climate change, digital transformation, and future-proofing our cities and infrastructure. We are designers, engineers, scientists, project managers, and strategic advisors. We innovate at the intersection of community, creativity, and client relationships to advance communities everywhere, so that together we can redefine what’s possible.","I work specifically in the Environmental Services (ES) business unit within Stantec, focused in assessment and remediation of contaminated sites of varying types. I work with a variety of engineers and scientists in evaluating chemicals, such as PFAS, petroleum products, and metals to determine strategies for remediation that are protective of human health and the environment. I have spent over 20 years in this industry and have learned that all sites are different and thus each approach is unique.","3510 Kraft Road, Suite 200","Naples, FL 34105",,,,,,Yes,Yes,
60-minute virtual informational interviews,1,"Architecture/Real Estate,Business",Jersey Mikes,Director of Real Estate,www.jerseymikes.com,I am the Director of Real Estate for Jersey Mikes Subs. I find sites and negotiate deals in partnership with franchisees looking to open JM stores across the northeast region. This involves a lot of travel and constant communication with different teams both internally and externally to help make this possible.,"I can walk the students through my 8-9 year career in real estate, different jobs I've had, and what it takes to explore paths within the real estate industry",2251 Landmark Place,Manasquan NJ,,,,,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,1,"Business,Consulting, Human Resources",T-Rex Solutions LLC,"Talent Management, Senior Manager",T-RexsolutionsLLC.com,"T-Rex Solutions LLC Established in 1999, T-Rex is a leading IT professional services firm helping federal government modernize, protect, and scale its systems and data. T-Rex has designed, built, integrated, and operated some of the largest critical systems for Federal government. We take pride in relentlessly innovating to improve government performance. T-Rex has technical expertise in Cloud Adoption, Cybersecurity, Data Engineering, Agile Transformation, Health IT, and Customer Experience Strategic Mission Services. T-Rex operates with the maturity of a large business and the agility of a small business.",Sharing my experience with student who are interested in pursuing a job in Human Resources filed. Or thinking to work for a Government Contracting Industry.,6901 Rockledge Dr.,"Bethesda, Md 20817",,,,,,No,No,Morning schedule preferred
60-minute virtual informational interviews,1,"Business,Consulting,Sales and Marketing Human Resources",University of Maryland,Program Director for HR Strategic Partnerships and Communications,University of Maryland,"I have worked in highered human resources for over 18 years. Serving in a number of capacities as a specialist, generalist, strategic partner, and chief of staff. Each of these opportunities have provided me with a great skill set and one that would be beneficial to an aspiring HR professional. I have served as mentors for students for many semesters and have served as a board member to educate students as well as professionals in human resources.","As mentioned above, I have served in various human resources positions over my career. All of the experiences have provided me with an opportunity to help future HR leaders as they transition into the field, aspire to be leaders, and develop into their best self while working in this career. I enjoy providing my insights to help others as well as I also learn from others through these experiences.",4300 Terrapin Trail Suite 3100,College Park,,,,,Any weekday (Mon-Fri),No,No,
60-minute virtual informational interviews,1,"Computing/Computer Science and Technology ,Data Science and Data Analytics, ATS Configuration, Reporting, Talent Acquisiton",DLH Corporation,Senior Talent Acquisition Analyst,https://www.dlhcorp.com/,"DLH delivers improved health and national security readiness solutions for federal programs through science research and development, systems engineering and integration, and digital transformation. Our experts in public health, performance evaluation, and health operations solve the complex problems faced by civilian and military customers alike, leveraging digital transformation, artificial intelligence, advanced analytics, cloud-based applications, telehealth systems, and more.","As a Sr Talent Acquisition Analyst Manage the flow of candidates through the recruitment process, from scheduling interviews including but not limited to, posting job opportunities on ancillary sites to including social media, updating and tracking pre-employment data, data reporting, and Applicant Tracking system administration and reporting activities. Leadership and building interpersonal relationships, Project Management, managing a team, multitasking efficiently",6720B Rockledge Drive Suite 777,"Bethesda, MD 20817",,,,,,Yes,No,
60-minute virtual informational interviews,1,"Cybersecurity,Engineering,Government and International Relations,Law and Law Enforcement,Military",Diplomatic Security Service,Special Agent,https://www.state.gov/about-us-bureau-of-diplomatic-security/,"Diplomatic Security Service (DSS) Special Agents are sworn federal law enforcement officers, specially trained Foreign Service security professionals and U.S. Diplomats. The career goes beyond safeguarding diplomatic personnel around the world — it’s an opportunity to drive global change and make a meaningful difference. While serving overseas as a Regional Security Officer, DSS Special Agents advise the U.S. Ambassador on all security matters and manage a complex range of security programs designed to protect personnel, facilities, and information. They are responsible for investigating crimes involving U.S. citizens, diplomats, or embassy personnel abroad. Their tasks include protecting American diplomats, conducting criminal investigations, handling fraud cases, and supporting local law enforcement in matters of international crime. They also work on counterintelligence, counterterrorism, and human trafficking issues in coordination with local authorities and international law enforcement. Domestically, DSS Special Agents protect the U.S. Secretary of State and visiting foreign dignitaries and conduct transnational investigations that involve passport and visa fraud. DSS Special Agents also lead a wide variety of global programs from physical security risk management, emergency and operational planning, threat analysis, advanced tactical operations, security coordination for major international events, cyber investigations and liaison to interagency partners. Diplomatic Security Service Special Agents develop a wide variety of law enforcement and international security skill sets that make us unique among federal law enforcement agencies.","The Regional Security Office (RSO) at U.S. missions abroad is the primary body responsible for safeguarding American diplomats, citizens, and embassy staff. Led by a regional security officer, the RSO coordinates security operations, manages emergency response plans, and ensures the physical security of the embassy and its personnel. It also oversees investigations into crimes involving U.S. citizens and handles threats ranging from terrorism to cyberattacks. In addition to maintaining day-to-day security, the RSO fosters strong relationships with local law enforcement and intelligence agencies to enhance U.S. mission safety in complex, often high-risk environments.",2201 C St NW,"Washington, DC 20520",,,,,,Yes,Yes,
60-minute virtual informational interviews,2,Agriculture/Environment,Choose Clean Water Coalition,Policy Specialist,https://www.choosecleanwater.org/,"Since 2009, the Choose Clean Water Coalition has harnessed the collective power of more than 300 organizations to advocate for clean rivers and streams in all communities in the Chesapeake Bay region. By coordinating policy, messaging, action, and accountability, the Coalition speaks louder with one voice toward our collective goal—clean water.",More insight into environmental advocacy work and hear about being a leader in your field.,151 West St Suite 101,"Annapolis, MD 21401",,,,,,Yes,Yes,
60-minute virtual informational interviews,2,"Agriculture/Environment,Business,Communications, Journalism, Media,NonProfit and Social Services,Science and Research",Baltimore County Public Schools Infants and Toddlers,Speech Language Pathologist,https://www.bcps.org/curriculum/specialeducation/birth_to_five_services/infants_and_toddlers,"Infants and Toddlers is a public health service for families whose children are born with a diagnosis or demonstrate a delay in their development or a disorder. I am a bilingual SLP, often supporting Spanish-speaking families whose children have language or speech delays and often children with characteristics of autism. I do home visits and make my own schedule, traveling throughout the work day. My colleagues are special educators, physical therapists and occupational therapists.","Students can learn about the process to becoming a speech pathologist, some of the job options, what a work day is like in the work settings I have worked (I have also worked in my own private practice and as a school based SLP), also volunteering globally as an SLP and I can share about some of my specialties or areas of interest including bilingualism, cleft palate, serving families with diverse backgrounds, cultural competency and developmental language disorders.",9150 Franklin Square Drive,Rosedale MD 21237,,,,,"Mon,Wed,Thurs,Fri",Yes,Yes,
60-minute virtual informational interviews,2,"Agriculture/Environment,Data Science and Data Analytics,Government and International Relations",United States Department of Agriculture - National Animal Health Monitoring System,Mathematical Statistician,https://www.aphis.usda.gov/nahms,"The National Animal Health Monitoring System (NAHMS) is a United States Department of Agriculture (USDA) program that performs national-level surveys of U.S. livestock and poultry management and health. 
                        
We conduct unique national-level surveys to determine the current state of health and health management in the U.S. livestock, poultry, and aquaculture populations. These data are collected, analyzed, and reported in a variety of ways. Statistical work includes design and analysis of complex survey data. Reporting occurs in a variety of modes and our data products can be found at https://www.aphis.usda.gov/nahms. ","I perform statistical work from the beginning through the end of our national studies and so can provide some insight into what sorts of technical skills (and soft skills) I use regularly.
                        
Cross-discipline work is critical to getting our work done as well. I am a mathematical statistician working within a group of primarily veterinary epidemiologists. We partner together within our team and across different government agencies at the Federal, State, and other levels on studies of specific livestock, poultry, and aquaculture species and so there is some cross-discipline work that must be performed, which prompts the balancing of perspectives and desires with project resources and scope, all within the boundaries of the laws that govern the work we do.
                        
There are further internship opportunities with our organization as well and I can point you to some resources to get connected if the opportunities seem right for you.",2150 Centre Ave,"Fort Collins, CO 80526",,Yes,,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,2,"Agriculture/Environment,Science and Research, Food Science",Danone,Food Scientist,https://www.daN/Anorthamerica.com/,"Danone is one of the top 15 food and beverage companies in the US, with a portfolio of yogurts, plant-based milks, coffee creamers, and more. Danone is a public benefit corporation - in fact, the largest b corporation in the world! Our mission is to bring health to people and the planet through food.","I work as a food scientist, in Research and Development - my job as a product developer is to make new food products that you see on grocery store shelves! I work with a cross functional team (marketing, regulatory, nutrition, engineering, and more) to develop and test new recipes. I can share how making a living from taste-tests is like, how food science is really a mix of science + art, and the ""behind the scenes"" on how new products are launched!",1 Maple Ave,White Plains,,,,,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,2,"Architecture/Real Estate,Business,Engineering",DLA Piper LLP,Paralegal,https://www.dlapiper.com/en-us,"DLA Piper is a global law firm, which has over 30 offices in the U.S. alone. It provides legal expertise and consulting to their clients in over 20 different practice groups. They also, have an award-winning pro bono department, both domestically and internationally. It also, has a top-notch Federal Affairs group as well.","I provide legal assistance, research, and act as a liaison between the firm, its clients, courts, government agencies, and embassies. I assist multiple practice groups, which include litigation, government and federal affairs, patent prosecution, trademark, real estate, international trade, corporate, and pro bono.","500 8TH Street, NW",Washington DC 20004,,,,,"Mon,Tues,Wed,Thurs",Yes,,
